id,email,password,,,,,,
7,tigju24@gmail.com,827ccb0eea8a706c4c34a16891f84e7b,,,,,,
10,test@test.com,202cb962ac59075b964b07152d234b70,,,,,,
11,caesar@gm.com,202cb962ac59075b964b07152d234b70,,,,,,
13,kmar@gmail.com,202cb962ac59075b964b07152d234b70,,,,,,
14,tb@mail.com,202cb962ac59075b964b07152d234b70,,,,,,
15,ben@mail.com,202cb962ac59075b964b07152d234b70,,,,,,
17,w@w.com,202cb962ac59075b964b07152d234b70,,,,,,
18,kat@gm.com,202cb962ac59075b964b07152d234b70,,,,,,
19,f@l.com,202cb962ac59075b964b07152d234b70,,,,,,
id,user_id,order_date,,,,,,
20,7,8/14/2023 23:16,,,,,,
21,7,8/14/2023 23:28,,,,,,
22,7,8/14/2023 23:30,,,,,,
23,7,8/14/2023 23:32,,,,,,
24,17,8/14/2023 23:39,,,,,,
25,17,8/14/2023 23:39,,,,,,
26,7,8/15/2023 19:30,,,,,,
27,7,8/15/2023 19:45,,,,,,
28,18,8/15/2023 19:53,,,,,,
29,19,8/15/2023 20:09,,,,,,
30,19,8/15/2023 20:09,,,,,,
id,order_id,order_line,product_id,product_name,quantity,price,,
25,20,1,1,Turkish style coffee,1,5,,
26,20,2,2,Ethiopian Coffee,1,6,,
27,20,3,5,Café de Olla (Mexican),1,7.55,,
28,20,4,4,Jamaican Blue Mountain,1,7,,
29,21,1,1,Turkish style coffee,1,5,,
30,21,2,5,Café de Olla (Mexican),1,7.55,,
31,22,1,2,Ethiopian Coffee,1,6,,
32,23,1,1,Turkish style coffee,1,5,,
33,23,2,2,Ethiopian Coffee,1,6,,
34,23,3,3,Brazilian Style,1,5.5,,
35,24,1,3,Brazilian Style,1,5.5,,
36,24,2,2,Ethiopian Coffee,1,6,,
37,24,3,1,Turkish style coffee,1,5,,
38,24,4,4,Jamaican Blue Mountain,1,7,,
39,25,1,8,Latte,1,9.75,,
40,25,2,7,Sumatra Coffee,1,6.75,,
41,25,3,9,Hawaiian Kona Coffee,1,6,,
42,25,4,6,Rwandan Coffee,1,5.75,,
43,26,1,3,Brazilian Style,1,5.5,,
44,26,2,2,Ethiopian Coffee,1,6,,
45,26,3,1,Turkish style coffee,1,5,,
46,26,4,5,Café de Olla (Mexican),1,7.55,,
47,27,1,1,Turkish style coffee,1,5,,
48,27,2,2,Ethiopian Coffee,1,6,,
49,28,1,8,Latte,1,9.75,,
50,28,2,9,Hawaiian Kona Coffee,1,6,,
51,29,1,5,Café de Olla (Mexican),1,7.55,,
52,29,2,6,Rwandan Coffee,1,5.75,,
53,29,3,8,Latte,1,9.75,,
54,30,1,1,Turkish style coffee,1,5,,
55,30,2,4,Jamaican Blue Mountain,1,7,,
56,30,3,7,Sumatra Coffee,1,6.75,,
57,30,4,8,Latte,1,9.75,,
user_id,first_name,last_name,street,city,state,zip,country,registered_date
7,julia,stanina,1212 Street,Brooklyn ,NY,12121,,8/12/2023 19:13
10,test,test,23 main st,brookyln ,NY,11111,United States,8/12/2023 19:18
11,caesar,cat,56th St,Brook ,IL,54321,United States,8/12/2023 22:02
13,kate,mar,1234 main st,brooklyn ,NY,11345,United States,8/13/2023 22:02
14,tom,brat,123 est,brook ,ME,23232,United States,8/13/2023 22:05
15,ben,cap,345 east st,brook ,NE,23454,United States,8/13/2023 22:09
17,w,w,9012,brook ,IA,12121,United States,8/14/2023 23:39
18,kat,kar,34 main,bronx ,ID,23122,United States,8/15/2023 19:53
19,f,l,111 jay St,Brook ,NY,10001,United States,8/15/2023 20:08
